Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
83;18;-13119.27;0;210.6667;210.6667;15.04762;489.1665;489.1665;44.46968;14;11;550;280;-10000;-449.2706;-3500
84;31;-16067.62;0;1046;1046;31.69696;1554.333;1554.333;50.13977;33;31;1550;660;-12000;-277.6148;-6000
85;18;-11086.56;0;366.6667;366.6667;21.56863;405.5;405.5;31.19231;17;13;650;340;-8000;-576.5634;-3500
86;10;-3274.073;0;109.3333;109.3333;10.93333;69.50002;69.50002;23.16667;10;3;150;200;0;-1124.073;-2500
87;15;-2858.038;0;144.3333;144.3333;12.02778;322.1667;322.1667;40.27084;12;8;400;240;0;-998.0377;-2500
88;18;-10384.08;0;195.0001;195.0001;21.66668;56.00005;56.00005;28.00002;9;2;100;180;-6000;-664.0814;-4000
89;14;-12969.91;0;240.3334;240.3334;24.03334;95.6667;95.6667;31.8889;10;3;150;200;-8000;-819.9106;-4500
90;31;-11925.65;0;649.0001;649.0001;25.96;1029.333;1029.333;44.75362;25;23;1150;500;-8000;-575.6482;-5000
91;17;-9355.753;0;350.3335;350.3335;25.02382;450.6664;450.6664;40.96968;14;11;550;280;-6000;-185.753;-4000
92;18;-7403.503;0;267.6665;267.6665;16.72916;572.0001;572.0001;44.00001;16;13;650;320;-4000;-873.5024;-3500
93;15;-13503.44;0;184.6666;184.6666;30.77776;78.16657;78.16657;39.08329;6;2;100;120;-8000;-723.4385;-5000
94;20;-12676.41;0;398.333;398.333;24.89581;599.3329;599.3329;46.10253;16;13;650;320;-8000;-646.4124;-5000
95;13;-4351.305;0;234.6666;234.6666;23.46666;172.3333;172.3333;43.08331;10;4;200;200;-2000;-751.3052;-2000
96;16;-3242.646;0;451.333;451.333;26.549;428.5;428.5;38.95454;17;11;550;340;0;-632.6462;-3500
97;26;-20362.54;0;248.3333;248.3333;17.73809;433.4999;433.4999;36.125;14;12;600;280;-14000;-742.5349;-6500
98;17;-7002.578;0;329.6665;329.6665;25.35896;252.1666;252.1666;42.02776;13;6;300;260;-4000;-562.5775;-3000
99;20;-10380.2;0;543.6663;543.6663;25.88887;783.6661;783.6661;48.97913;21;16;800;420;-8000;-600.2025;-3000
100;28;-14738.27;0;768.3328;768.3328;36.58727;864.3322;864.3322;50.84307;21;17;850;420;-10000;-1008.271;-5000
101;16;-11508.81;0;199.9999;199.9999;22.22222;262.6664;262.6664;43.77774;9;6;300;180;-8000;-488.8103;-3500
102;36;-21306.39;0;1143.666;1143.666;27.8943;1813;1813;53.32352;41;34;1700;820;-16000;-826.3895;-7000
103;12;-4548.087;0;144.9999;144.9999;20.71428;106.5;106.5;21.29999;7;5;250;140;-2000;-438.0869;-2500
